user01,admin,254473,SA,varun,10000,M
user02,admin,549901,SA,amogh,10000,M
user03,admin,234912,SA,ranjith,10000,M
user04,admin,230145,SA,Akhila,10000,F
user05,admin,998765,SA,venu,10000,M
user06,admin,005719,SA,pratik,10000,M
user07,admin,198743,SA,jack,10000,M
user08,admin,247823,SA,meghana,10000,F
user09,admin,438293,CA,jill,10000,M
user10,admin,343987,CA,sivani,10000,F
user11,admin,734859,CA,nehul,10000,M
user12,admin,437389,CA,sudhashree,10000,F
user13,admin,348378,CA,jayanth,10000,M
user14,admin,345889,CA,varun,10000,M
user15,admin,435399,CA,aman,10000,M
user16,admin,345378,CA,naman,10000,M
